id,name,artists,album,year,popularity,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_m,file name
6ic8OlLUNEATToEFU3xmaH,Gimme More,Britney Spears,Blackout,2007,83,0.788,0.844,2,0.0334,0.25,0.000678,0.0723,0.382,113.324,4.1873,Gimme More Britney Spears
2y4lAQpi5VTNLu2ldeTdUH,We Can't Stop,Miley Cyrus,Bangerz (Deluxe Version),2013,81,0.613,0.622,1,0.0334,0.00882,0.0,0.37,0.484,80.003,3.854,We Can't Stop Miley Cyrus
0IkKz2J93C94Ei4BvDop7P,Party Rock Anthem,LMFAO,Sorry For Party Rocking,2011,71,0.75,0.727,5,0.142,0.0189,0.0,0.266,0.359,129.993,4.3696,Party Rock Anthem LMFAO
4Tq3QocH9Okvn4wDgTlkR5,We Stayed Up All Night,Tourist,We Stayed Up All Night,2017,50,0.519,0.842,11,0.0433,0.213,0.000441,0.21,0.588,84.997,4.4293,"We Stayed Up All Night Tourist, Ardyn"
6RL7Xvxk0htXlECrGYxBXH,Doc Whiler,Alex Banin,Doc Whiler,2023,45,0.619,0.477,5,0.185,0.544,0.563,0.108,0.192,121.932,2.4918,Doc Whiler Alex Banin
1WH2bOLCi7xwv1w6tvSojq,Swimming Big,Porches,All Day Gentle Hold !,2021,27,0.706,0.646,1,0.0698,0.264,0.0,0.428,0.538,144.065,2.475,Swimming Big Porches
7aQjPecQdIuNd1sz3KCDhD,Lovefool,The Cardigans,First Band On The Moon (Remastered),1996,82,0.704,0.636,9,0.0252,0.0344,0.0,0.35,0.89,111.845,3.2326,Lovefool* The Cardigans
0fiTN2N5HEIefAHtm00vYG,Wildfire,SBTRKT,SBTRKT (Deluxe Version),2011,58,0.841,0.481,0,0.387,0.0308,0.000515,0.0896,0.341,139.574,3.35,"Wildfire SBTRKT, Little Dragon"
3hZSz78NUl6gGOKUAEmKhE,So Fine,Pomo,The Other Day,2014,30,0.68,0.738,9,0.0409,0.0108,0.822,0.0972,0.15,115.953,4.0,So Fine Pomo
0O2UcLBP75ugJ8DxskP8gz,Skeleton Boy,Friendly Fires,Friendly Fires,2008,42,0.618,0.915,1,0.0575,0.00589,0.00117,0.0997,0.787,119.016,3.5607,Skeleton Boy Friendly Fires
4EgGFRir6rg8sUSZewSrSg,which way (feat. dystopia),FKA twigs,CAPRISONGS,2022,46,0.699,0.556,9,0.27,0.203,6.82e-06,0.336,0.263,88.504,2.0358,"which way (feat. dystopia) FKA twigs, Dystopia"
2xyG7Ng37OlOzRszvNzLLK,After the After,CFCF,memoryland,2021,24,0.756,0.705,6,0.0797,0.0982,0.00597,0.255,0.779,134.011,6.5101,After the After CFCF
6WfVAsQV7ImCe8uXELyrVg,Fast Food,Fieh,In the Sun in the Rain,2022,34,0.619,0.616,10,0.0418,0.0371,0.0101,0.101,0.716,108.018,4.597,Fast Food Fieh
58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B,Invasion of Privacy,2018,80,0.816,0.726,5,0.129,0.099,0.0,0.372,0.65,136.048,4.2232,I Like It Cardi B
1447z3NQY5Dg6oik6Zh5rw,Admit It (u don't want 2),Fred again..,Admit It (u don't want 2),2022,50,0.761,0.958,6,0.141,0.00923,0.00867,0.098,0.49,134.033,6.4179,"Admit It (U don't Want 2) Fred again.., I. JORDAN"
2LRQ6NaLbmWLa6rysOGTIV,Step By Step - Axel Boman’s In The Air Version Extended Mix,Braxe + Falcon,Step By Step (Axel Boman’s In The Air Version),2023,14,0.463,0.723,10,0.0494,0.00317,0.0248,0.107,0.504,121.022,6.0854,"Step By Step Braxe + Falcon, Panda Bear, DJ Falcon"
